Frame   GroundTruth Elements   TruePositives  False Positives  Number of Detections   False Negatives    Precision           Recall
1               2                    1               0                  1                  1              1                0.5
2               4                    2               0                  2                  2              1                0.5
3               6                    3               0                  3                  3              1                0.5
4               8                    4               0                  4                  4              1                0.5
5               10                    5               0                  5                  5              1                0.5
6               12                    6               0                  6                  6              1                0.5
7               14                    7               0                  7                  7              1                0.5
8               16                    8               0                  8                  8              1                0.5
9               18                    9               0                  9                  9              1                0.5
10               20                    10               0                  10                  10              1                0.5
11               22                    11               0                  11                  11              1                0.5
12               24                    12               0                  12                  12              1                0.5
13               26                    13               0                  13                  13              1                0.5
14               28                    14               0                  14                  14              1                0.5
15               30                    15               0                  15                  15              1                0.5
16               32                    16               0                  16                  16              1                0.5
17               34                    17               0                  17                  17              1                0.5
18               36                    18               0                  18                  18              1                0.5
19               38                    19               0                  19                  19              1                0.5
20               40                    20               0                  20                  20              1                0.5
21               42                    21               0                  21                  21              1                0.5
22               44                    22               0                  22                  22              1                0.5
23               46                    23               0                  23                  23              1                0.5
24               48                    24               0                  24                  24              1                0.5
25               50                    25               0                  25                  25              1                0.5
26               52                    26               0                  26                  26              1                0.5
27               54                    27               0                  27                  27              1                0.5
28               56                    28               0                  28                  28              1                0.5
29               58                    29               0                  29                  29              1                0.5
30               60                    30               0                  30                  30              1                0.5
31               62                    31               0                  31                  31              1                0.5
32               64                    32               0                  32                  32              1                0.5
33               66                    33               0                  33                  33              1                0.5
34               68                    34               0                  34                  34              1                0.5
35               70                    35               0                  35                  35              1                0.5
36               72                    36               0                  36                  36              1                0.5
37               74                    37               0                  37                  37              1                0.5
38               76                    38               0                  38                  38              1                0.5
