Frame   GroundTruth Elements   TruePositives  False Positives  Number of Detections   False Negatives    Precision           Recall
1               1                    1               0                  1                  0              1                1
2               2                    2               0                  2                  0              1                1
3               3                    3               0                  3                  0              1                1
4               4                    4               1                  5                  0              0.8                1
5               5                    5               2                  7                  0              0.714286                1
6               6                    6               2                  8                  0              0.75                1
7               7                    7               2                  9                  0              0.777778                1
8               8                    8               2                  10                  0              0.8                1
9               9                    9               2                  11                  0              0.818182                1
10               10                    10               2                  12                  0              0.833333                1
11               11                    11               2                  13                  0              0.846154                1
12               12                    12               2                  14                  0              0.857143                1
13               13                    13               2                  15                  0              0.866667                1
14               14                    14               2                  16                  0              0.875                1
15               15                    15               2                  17                  0              0.882353                1
16               16                    16               2                  18                  0              0.888889                1
17               17                    17               2                  19                  0              0.894737                1
18               18                    18               2                  20                  0              0.9                1
19               19                    19               2                  21                  0              0.904762                1
20               20                    20               2                  22                  0              0.909091                1
21               21                    21               2                  23                  0              0.913043                1
22               22                    22               3                  25                  0              0.88                1
23               23                    23               4                  27                  0              0.851852                1
24               24                    24               4                  28                  0              0.857143                1
25               25                    25               4                  29                  0              0.862069                1
26               26                    26               4                  30                  0              0.866667                1
27               27                    27               4                  31                  0              0.870968                1
28               28                    28               4                  32                  0              0.875                1
29               29                    29               4                  33                  0              0.878788                1
30               30                    30               4                  34                  0              0.882353                1
31               31                    31               4                  35                  0              0.885714                1
32               32                    32               4                  36                  0              0.888889                1
33               33                    33               4                  37                  0              0.891892                1
34               34                    34               4                  38                  0              0.894737                1
35               35                    35               4                  39                  0              0.897436                1
36               36                    36               4                  40                  0              0.9                1
37               37                    37               4                  41                  0              0.902439                1
38               38                    38               4                  42                  0              0.904762                1
